ticker,date,predicted_return,lower_bound_return,bound_width
TCS.NS,2025-12-10,-0.2832,-0.2862,0.0051
TCS.NS,2025-12-11,-0.2896,-0.2925,0.005
TCS.NS,2025-12-14,-0.2917,-0.2946,0.005
TCS.NS,2025-12-15,-0.2862,-0.2891,0.005
TCS.NS,2025-12-16,-0.289,-0.2919,0.005
TCS.NS,2025-12-17,-0.3026,-0.3055,0.0049
TCS.NS,2025-12-18,-0.3029,-0.3058,0.0049
TCS.NS,2025-12-21,-0.3119,-0.3147,0.0049
TCS.NS,2025-12-22,-0.3088,-0.3116,0.0049
TCS.NS,2025-12-23,-0.3107,-0.3135,0.0049
TCS.NS,2025-12-25,-0.3025,-0.3053,0.0049
TCS.NS,2025-12-28,-0.2964,-0.2992,0.005
TCS.NS,2025-12-29,-0.2953,-0.2982,0.005
TCS.NS,2025-12-30,-0.2864,-0.2893,0.005
TCS.NS,2025-12-31,-0.2911,-0.294,0.005
TCS.NS,2026-01-01,-0.2962,-0.2991,0.005
TCS.NS,2026-01-04,-0.2886,-0.2915,0.005
TCS.NS,2026-01-05,-0.2973,-0.3002,0.005
TCS.NS,2026-01-06,-0.3058,-0.3086,0.0049
TCS.NS,2026-01-07,-0.2859,-0.2888,0.005
TCS.NS,2026-01-08,-0.2868,-0.2897,0.005
TCS.NS,2026-01-11,-0.2938,-0.2967,0.005
TCS.NS,2026-01-12,-0.2999,-0.3028,0.0049
TCS.NS,2026-01-13,-0.2834,-0.2863,0.0051
TCS.NS,2026-01-14,-0.2834,-0.2863,0.0051
TCS.NS,2026-01-15,-0.2993,-0.3021,0.0049
TCS.NS,2026-01-18,-0.2897,-0.2926,0.005
TCS.NS,2026-01-19,-0.2757,-0.2787,0.0051
TCS.NS,2026-01-20,-0.2804,-0.2833,0.0051
TCS.NS,2026-01-21,-0.2868,-0.2897,0.005
TCS.NS,2026-01-22,-0.2895,-0.2924,0.005
TCS.NS,2026-01-26,-0.2885,-0.2914,0.005
TCS.NS,2026-01-27,-0.2978,-0.3007,0.005
TCS.NS,2026-01-28,-0.2854,-0.2883,0.005
TCS.NS,2026-01-29,-0.2807,-0.2836,0.0051
TCS.NS,2026-02-01,-0.2911,-0.294,0.005
TCS.NS,2026-02-02,-0.3033,-0.3062,0.0049
TCS.NS,2026-02-03,-0.2508,-0.2538,0.0053
TCS.NS,2026-02-04,-0.2489,-0.2519,0.0053
TCS.NS,2026-02-05,-0.2361,-0.2392,0.0054
TCS.NS,2026-02-08,-0.2378,-0.2409,0.0054
TCS.NS,2026-02-09,-0.2471,-0.2502,0.0053
TCS.NS,2026-02-10,-0.2278,-0.2309,0.0054
TCS.NS,2026-02-11,-0.1829,-0.1863,0.0058
TCS.NS,2026-02-12,-0.1654,-0.1688,0.0059
TCS.NS,2026-02-15,-0.1698,-0.1732,0.0059
TCS.NS,2026-02-16,-0.1731,-0.1765,0.0058
TCS.NS,2026-02-17,-0.1662,-0.1696,0.0059
TCS.NS,2026-02-18,-0.1609,-0.1643,0.0059
TCS.NS,2026-02-19,-0.1635,-0.1669,0.0059
TCS.NS,2026-02-22,-0.1604,-0.1638,0.0059
TCS.NS,2026-02-23,-0.1269,-0.1305,0.0062
TCS.NS,2026-02-24,-0.1454,-0.1489,0.006
TCS.NS,2026-02-25,-0.1513,-0.1548,0.006
TCS.NS,2026-02-26,-0.148,-0.1515,0.006
TCS.NS,2026-03-01,-0.1402,-0.1437,0.0061
TCS.NS,2026-03-03,-0.1317,-0.1352,0.0061
TCS.NS,2026-03-04,-0.1287,-0.1322,0.0061
TCS.NS,2026-03-05,-0.1214,-0.125,0.0062
TCS.NS,2026-03-08,-0.1109,-0.1146,0.0063
TCS.NS,2026-03-09,-0.1059,-0.1095,0.0063
TCS.NS,2026-03-10,-0.0884,-0.0921,0.0064
TCS.NS,2026-03-11,-0.08,-0.0838,0.0065
TCS.NS,2026-03-12,-0.0678,-0.0716,0.0066
TCS.NS,2026-03-15,-0.0673,-0.0711,0.0066
TCS.NS,2026-03-16,-0.0605,-0.0643,0.0066
TCS.NS,2026-03-17,-0.0794,-0.0832,0.0065
TCS.NS,2026-03-18,-0.0463,-0.0502,0.0067
TCS.NS,2026-03-19,-0.0601,-0.0639,0.0066
TCS.NS,2026-03-22,-0.0574,-0.0612,0.0066
TCS.NS,2026-03-23,-0.0633,-0.0671,0.0066
TCS.NS,2026-03-24,-0.0548,-0.0587,0.0067
TCS.NS,2026-03-26,-0.0597,-0.0636,0.0066
TCS.NS,2026-03-29,-0.0474,-0.0513,0.0067
TCS.NS,2026-03-31,-0.0669,-0.0707,0.0066
TCS.NS,2026-04-01,-0.0831,-0.0869,0.0065
TCS.NS,2026-04-05,-0.0917,-0.0954,0.0064
TCS.NS,2026-04-06,-0.1153,-0.1189,0.0062
TCS.NS,2026-04-07,-0.122,-0.1256,0.0062
TCS.NS,2026-04-08,-0.1321,-0.1356,0.0061
TCS.NS,2026-04-09,-0.1098,-0.1135,0.0063
TCS.NS,2026-04-12,-0.0912,-0.0949,0.0064
TCS.NS,2026-04-14,-0.1205,-0.1241,0.0062
TCS.NS,2026-04-15,-0.128,-0.1316,0.0061
TCS.NS,2026-04-16,-0.1296,-0.1331,0.0061
TCS.NS,2026-04-19,-0.1289,-0.1325,0.0061
TCS.NS,2026-04-20,-0.1392,-0.1428,0.0061
TCS.NS,2026-04-21,-0.1148,-0.1184,0.0062
TCS.NS,2026-04-22,-0.109,-0.1126,0.0063
TCS.NS,2026-04-23,-0.0625,-0.0664,0.0066
